date,ticker,money,price,shares,total ,fees,sharpe
2024-01-24,HON,2.3032862205778954,201.35281372070312,0.0,0.0,125.72,2.009683461453242
2024-01-24,IBM,2.3032862205778954,133.5775604248047,1.0,133.5775604248047,125.72,2.009683461453242
2024-01-24,INTC,2.3032862205778954,29.15213966369629,0,0.0,125.72,2.009683461453242
2024-01-24,JNJ,2.3032862205778954,162.12208557128906,0,0.0,125.72,2.009683461453242
2024-01-24,JPM,2.3032862205778954,134.6055450439453,100.0,13460.554504394531,125.72,2.009683461453242
2024-01-24,KO,2.3032862205778954,58.69811248779297,100.0,5869.811248779297,125.72,2.009683461453242
2024-01-24,MCD,2.3032862205778954,262.10107421875,0,0.0,125.72,2.009683461453242
2024-01-24,MMM,2.3032862205778954,106.67220306396484,100.0,10667.220306396484,125.72,2.009683461453242
2024-01-24,MRK,2.3032862205778954,105.5661849975586,200.0,21113.23699951172,125.72,2.009683461453242
2024-01-24,MSFT,2.3032862205778954,239.4698944091797,109.0,26102.218490600586,125.72,2.009683461453242
2024-01-24,NKE,2.3032862205778954,124.7657699584961,37.0,4616.3334884643555,125.72,2.009683461453242
2024-01-24,PG,2.3032862205778954,138.30328369140625,0.0,0.0,125.72,2.009683461453242
2024-01-24,TRV,2.3032862205778954,188.06167602539065,0.0,0.0,125.72,2.009683461453242
2024-01-24,UNH,2.3032862205778954,482.4069213867187,0.0,0.0,125.72,2.009683461453242
2024-01-24,V,2.3032862205778954,221.712646484375,0,0.0,125.72,2.009683461453242
